response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2081,0.0037,0.0000,0.0000,0.2042,0.0001,200,0.0082
0.2087,0.0031,0.0000,0.0001,0.2042,0.0001,200,0.0076
0.2091,0.0014,0.0004,0.0018,0.2057,0.0002,200,0.0073
0.2074,0.0027,0.0000,0.0001,0.2040,0.0001,200,0.0090
0.2075,0.0034,0.0001,0.0001,0.2040,0.0001,200,0.0089
0.2082,0.0014,0.0006,0.0002,0.2064,0.0001,200,0.0083
0.2081,0.0034,0.0000,0.0001,0.2044,0.0001,200,0.0084
0.2084,0.0035,0.0000,0.0000,0.2049,0.0001,200,0.0082
0.2086,0.0025,0.0000,0.0000,0.2059,0.0001,200,0.0084
0.3072,0.0036,0.0001,0.0000,0.3035,0.0001,200,0.0084
0.4076,0.0026,0.0001,0.0002,0.4048,0.0001,200,0.0082
0.4071,0.0016,0.0001,0.0001,0.4047,0.0001,200,0.0088
0.4075,0.0033,0.0001,0.0001,0.4039,0.0001,200,0.0085
0.4076,0.0022,0.0000,0.0001,0.4052,0.0001,200,0.0084
0.4081,0.0016,0.0000,0.0000,0.4053,0.0001,200,0.0078
0.4085,0.0024,0.0000,0.0001,0.4054,0.0001,200,0.0075
0.4076,0.0035,0.0001,0.0000,0.4039,0.0001,200,0.0084
0.4089,0.0032,0.0004,0.0000,0.4051,0.0001,200,0.0071
0.4089,0.0037,0.0001,0.0000,0.4042,0.0001,200,0.0071
0.4088,0.0013,0.0002,0.0017,0.4054,0.0001,200,0.0072
0.4088,0.0018,0.0001,0.0003,0.4057,0.0001,200,0.0073
0.4072,0.0013,0.0002,0.0001,0.4056,0.0001,200,0.0089
0.4080,0.0006,0.0001,0.0018,0.4055,0.0001,200,0.0082
0.4074,0.0026,0.0000,0.0000,0.4041,0.0001,200,0.0088
0.4093,0.0026,0.0009,0.0002,0.4064,0.0001,200,0.0071
0.6077,0.0035,0.0001,0.0000,0.6041,0.0001,200,0.0084
0.1999,0.0000,0.0000,0.0000,0.1998,0.0000,200,0.4164
0.6095,0.0018,0.0009,0.0018,0.6057,0.0001,200,0.0068
0.6090,0.0013,0.0001,0.0018,0.6058,0.0001,200,0.0075
0.6082,0.0024,0.0005,0.0001,0.6055,0.0000,200,0.0083
0.2003,0.0000,0.0000,0.0000,0.2002,0.0000,200,0.4162
0.4002,0.0000,0.0000,0.0001,0.4001,0.0001,200,0.2163
0.2006,0.0000,0.0000,0.0000,0.2004,0.0001,200,0.4159
0.6087,0.0012,0.0000,0.0002,0.6060,0.0001,200,0.0078
0.2006,0.0000,0.0000,0.0000,0.2005,0.0001,200,0.4159
0.4002,0.0000,0.0000,0.0000,0.4000,0.0001,200,0.2164
0.6092,0.0011,0.0005,0.0020,0.6060,0.0001,200,0.0074
0.2006,0.0000,0.0000,0.0000,0.2004,0.0001,200,0.4161
0.6087,0.0028,0.0002,0.0002,0.6057,0.0001,200,0.0079
0.6099,0.0030,0.0008,0.0001,0.6065,0.0001,200,0.0068
0.6098,0.0017,0.0008,0.0018,0.6060,0.0001,200,0.0069
0.2008,0.0000,0.0000,0.0001,0.2006,0.0001,200,0.4160
0.2007,0.0000,0.0000,0.0000,0.2006,0.0001,200,0.4160
0.6084,0.0016,0.0001,0.0001,0.6057,0.0001,200,0.0084
0.4004,0.0000,0.0000,0.0000,0.4003,0.0000,200,0.2164
0.6089,0.0017,0.0000,0.0001,0.6057,0.0001,200,0.0079
0.6085,0.0038,0.0000,0.0000,0.6045,0.0000,200,0.0084
0.2008,0.0000,0.0000,0.0000,0.2007,0.0000,200,0.4161
0.6086,0.0026,0.0000,0.0000,0.6059,0.0000,200,0.0083
0.6091,0.0024,0.0001,0.0001,0.6062,0.0000,200,0.0080
0.4004,0.0000,0.0000,0.0000,0.4003,0.0000,200,0.2166
0.3014,0.0000,0.0000,0.0000,0.3013,0.0001,200,0.3156
0.2011,0.0000,0.0000,0.0000,0.2010,0.0001,200,0.4160
0.6091,0.0036,0.0000,0.0000,0.6049,0.0000,200,0.0081
0.6091,0.0012,0.0001,0.0001,0.6065,0.0001,200,0.0081
0.2015,0.0000,0.0000,0.0000,0.2014,0.0001,200,0.4158
0.2014,0.0000,0.0000,0.0000,0.2013,0.0000,200,0.4160
0.2014,0.0000,0.0000,0.0000,0.2013,0.0000,200,0.4159
0.2013,0.0000,0.0000,0.0000,0.2012,0.0000,200,0.4161
0.4009,0.0000,0.0000,0.0000,0.4008,0.0000,200,0.2165
0.6095,0.0043,0.0000,0.0000,0.6051,0.0000,200,0.0080
0.6090,0.0038,0.0001,0.0001,0.6051,0.0001,200,0.0085
0.4011,0.0000,0.0000,0.0000,0.4010,0.0000,200,0.2164
0.6101,0.0015,0.0001,0.0002,0.6076,0.0000,200,0.0075
0.4014,0.0000,0.0000,0.0000,0.4013,0.0001,200,0.2164
0.4016,0.0000,0.0000,0.0000,0.4015,0.0001,200,0.2164
0.5001,0.0000,0.0000,0.0001,0.4999,0.0001,200,0.4162
0.2996,0.0000,0.0000,0.0000,0.2994,0.0001,200,0.6168
0.2993,0.0000,0.0000,0.0000,0.2991,0.0001,200,0.6171
0.2998,0.0000,0.0000,0.0000,0.2996,0.0001,200,0.6167
0.2992,0.0000,0.0000,0.0000,0.2991,0.0001,200,0.6173
0.2995,0.0000,0.0000,0.0000,0.2993,0.0001,200,0.6171
0.3000,0.0000,0.0000,0.0000,0.2999,0.0000,200,0.6166
0.2992,0.0000,0.0000,0.0001,0.2991,0.0001,200,0.6174
0.3001,0.0000,0.0000,0.0000,0.3000,0.0001,200,0.6165
0.9078,0.0035,0.0001,0.0000,0.9042,0.0000,200,0.0089
0.3000,0.0000,0.0000,0.0000,0.2996,0.0003,200,0.6167
0.2993,0.0000,0.0000,0.0000,0.2992,0.0001,200,0.6174
0.3001,0.0000,0.0000,0.0000,0.3000,0.0001,200,0.6166
0.3002,0.0000,0.0000,0.0001,0.3001,0.0000,200,0.6165
0.5007,0.0000,0.0000,0.0000,0.5005,0.0001,200,0.4161
0.2996,0.0000,0.0000,0.0000,0.2994,0.0001,200,0.6172
0.2993,0.0000,0.0000,0.0000,0.2992,0.0000,200,0.6176
0.3001,0.0000,0.0000,0.0000,0.3000,0.0000,200,0.6169
0.2995,0.0000,0.0000,0.0000,0.2994,0.0001,200,0.6175
0.3009,0.0000,0.0000,0.0000,0.3008,0.0001,200,0.6161
0.3005,0.0000,0.0000,0.0001,0.3003,0.0000,200,0.6167
0.2998,0.0000,0.0000,0.0000,0.2997,0.0000,200,0.6174
0.3009,0.0000,0.0000,0.0000,0.3008,0.0000,200,0.6163
0.3002,0.0000,0.0000,0.0000,0.3001,0.0001,200,0.6171
0.3008,0.0000,0.0000,0.0001,0.3007,0.0000,200,0.6165
0.3001,0.0000,0.0000,0.0000,0.2999,0.0001,200,0.6173
0.3992,0.0000,0.0000,0.0000,0.3990,0.0001,200,0.6163
0.0993,0.0000,0.0000,0.0000,0.0991,0.0001,200,0.9164
0.0992,0.0000,0.0000,0.0001,0.0991,0.0000,200,0.9166
0.0985,0.0000,0.0000,0.0000,0.0984,0.0001,200,0.9173
0.0989,0.0000,0.0000,0.0001,0.0987,0.0000,200,0.9170
0.3994,0.0000,0.0000,0.0000,0.3992,0.0001,200,0.6168
0.0996,0.0000,0.0000,0.0000,0.0995,0.0000,200,0.9166
0.0994,0.0000,0.0000,0.0000,0.0993,0.0000,200,0.9169
0.0996,0.0000,0.0000,0.0000,0.0995,0.0000,200,0.9167
0.3999,0.0000,0.0000,0.0001,0.3998,0.0001,200,0.6165
0.3993,0.0000,0.0000,0.0000,0.3992,0.0000,200,0.6172
0.0993,0.0000,0.0000,0.0000,0.0992,0.0000,200,0.9173
0.0995,0.0000,0.0000,0.0000,0.0994,0.0000,200,0.9171
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,1.0158
0.4001,0.0000,0.0000,0.0001,0.4000,0.0000,200,0.6168
0.1004,0.0000,0.0000,0.0000,0.1003,0.0000,200,0.9165
0.0997,0.0000,0.0000,0.0000,0.0996,0.0001,200,0.9172
0.1003,0.0000,0.0000,0.0000,0.1001,0.0001,200,0.9167
0.1003,0.0000,0.0000,0.0001,0.1002,0.0000,200,0.9166
0.1003,0.0000,0.0000,0.0000,0.1002,0.0000,200,0.9167
0.1000,0.0000,0.0000,0.0000,0.0999,0.0000,200,0.9170
0.3994,0.0000,0.0000,0.0000,0.3992,0.0000,200,0.6178
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,1.0163
0.4007,0.0000,0.0000,0.0000,0.4005,0.0001,200,0.6166
0.4008,0.0000,0.0000,0.0000,0.4007,0.0000,200,0.6165
0.1008,0.0000,0.0000,0.0000,0.1007,0.0000,200,0.9165
0.4008,0.0000,0.0000,0.0000,0.4007,0.0001,200,0.6166
0.1011,0.0000,0.0000,0.0000,0.1010,0.0000,200,0.9166
0.1012,0.0000,0.0000,0.0000,0.1011,0.0000,200,0.9167
0.0023,0.0000,0.0000,0.0000,0.0021,0.0001,200,1.0158
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,1.0172
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,1.0174
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,1.0172
0.0026,0.0000,0.0000,0.0000,0.0025,0.0000,200,1.0158
0.8014,0.0000,0.0000,0.0000,0.8013,0.0001,200,0.2170
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,1.0166
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,1.0170
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,1.0177
0.1018,0.0000,0.0000,0.0000,0.1017,0.0000,200,0.9170
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,1.0161
0.4014,0.0000,0.0000,0.0000,0.4013,0.0001,200,0.6174
0.1025,0.0000,0.0000,0.0000,0.1024,0.0001,200,0.9164
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,1.0169
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,1.0180
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,1.0169
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,1.0180
0.3987,0.0000,0.0000,0.0000,0.3986,0.0001,200,0.9168
0.2972,0.0000,0.0000,0.0000,0.2971,0.0001,200,1.0184
0.6991,0.0000,0.0000,0.0000,0.6989,0.0001,200,0.6166
0.2991,0.0000,0.0000,0.0000,0.2990,0.0001,200,1.0166
0.2970,0.0000,0.0000,0.0000,0.2969,0.0001,200,1.0187
0.2985,0.0000,0.0000,0.0000,0.2983,0.0000,200,1.0173
0.2993,0.0000,0.0000,0.0000,0.2992,0.0001,200,1.0164
0.2982,0.0000,0.0000,0.0000,0.2981,0.0001,200,1.0175
0.2965,0.0000,0.0000,0.0000,0.2965,0.0000,200,1.0193
0.1002,0.0000,0.0000,0.0000,0.1000,0.0001,200,1.3156
0.7990,0.0000,0.0000,0.0000,0.7988,0.0001,200,0.6169
0.3973,0.0000,0.0000,0.0000,0.3972,0.0001,200,1.0186
0.7991,0.0000,0.0000,0.0000,0.7989,0.0001,200,0.6168
0.3990,0.0000,0.0000,0.0000,0.3989,0.0001,200,1.0169
0.3997,0.0000,0.0000,0.0000,0.3996,0.0001,200,1.0163
0.4001,0.0000,0.0000,0.0000,0.4000,0.0000,200,1.0159
0.3971,0.0000,0.0000,0.0000,0.3970,0.0000,200,1.0189
0.1004,0.0000,0.0000,0.0000,0.1002,0.0001,200,1.3157
0.3969,0.0000,0.0000,0.0000,0.3967,0.0001,200,1.0192
0.3970,0.0000,0.0000,0.0000,0.3968,0.0001,200,1.0191
0.1003,0.0000,0.0000,0.0000,0.1001,0.0001,200,1.3158
0.3970,0.0000,0.0000,0.0000,0.3968,0.0001,200,1.0192
0.3973,0.0000,0.0000,0.0000,0.3971,0.0002,200,1.0189
0.7994,0.0000,0.0000,0.0000,0.7992,0.0001,200,0.6168
0.4994,0.0000,0.0000,0.0001,0.4992,0.0000,200,0.9168
0.4991,0.0000,0.0000,0.0000,0.4990,0.0000,200,0.9171
0.4995,0.0000,0.0000,0.0000,0.4994,0.0000,200,0.9167
0.3974,0.0000,0.0000,0.0000,0.3973,0.0000,200,1.0188
0.3992,0.0000,0.0000,0.0000,0.3989,0.0002,200,1.0171
0.3989,0.0000,0.0000,0.0000,0.3988,0.0001,200,1.0174
0.3979,0.0000,0.0000,0.0001,0.3978,0.0001,200,1.0192
0.4003,0.0000,0.0000,0.0000,0.4001,0.0001,200,1.0170
0.4032,0.0000,0.0000,0.0000,0.4031,0.0001,200,1.0165
0.4997,0.0000,0.0000,0.0000,0.4996,0.0001,200,1.0162
0.2002,0.0000,0.0000,0.0000,0.2000,0.0001,200,1.3157
0.0999,0.0000,0.0000,0.0000,0.0996,0.0001,200,1.4161
0.8980,0.0000,0.0000,0.0000,0.8979,0.0000,200,0.6180
0.0999,0.0000,0.0000,0.0000,0.0997,0.0001,200,1.4161
0.8991,0.0000,0.0000,0.0000,0.8990,0.0001,200,0.6169
0.0998,0.0000,0.0000,0.0000,0.0997,0.0001,200,1.4162
